agency_id,route_id,route_long_name,route_short_name,route_type,origin,destination,name_length,is_circular,route_type_label,zone
BMTC,293M,Krishnarajendra Market - Byala Halli,BR1271,3,Krishnarajendra Market,Byala Halli,36,0,Ordinary Variant,Central
BMTC,1,Jayanagara 9th Block - Yeshwanathapura new railway station,BR2,3,Jayanagara 9th Block,Yeshwanathapura new railway station,58,0,Ordinary,South
BMTC,293L,Krishnarajendra Market - Yarappana Bande,BR1270,3,Krishnarajendra Market,Yarappana Bande,40,0,Ordinary Variant,Central
BMTC,293S,Kempegowda Bus Station - Bagaluru,BR1274,3,Kempegowda Bus Station,Bagaluru,33,0,Ordinary Variant,Central
BMTC,DML-KMK,Domlur - Katriguppe Kamkya Talkies,BR3286,3,Domlur,Katriguppe Kamkya Talkies,34,0,Special,Other
BMTC,293R,Shivajinagar Bus Station - Chikkajala,BR1273,3,Shivajinagar Bus Station,Chikkajala,37,0,Ordinary Variant,Central
BMTC,250CC,Krishnarajendra Market - Munikondappa Badavane,BR777,3,Krishnarajendra Market,Munikondappa Badavane,46,0,Special,Central
BMTC,5,Jayanagara 5th Block - Kempegowda Bus Station,BR2313,3,Jayanagara 5th Block,Kempegowda Bus Station,45,0,Ordinary,South
BMTC,293P,Marenahalli Bande - Shivajinagar Bus Station,BR1272,3,Marenahalli Bande,Shivajinagar Bus Station,44,0,Ordinary Variant,Central
BMTC,250CB,Kempegowda Bus Station - Mallasandra Bagalagunte,BR776,3,Kempegowda Bus Station,Mallasandra Bagalagunte,48,0,Special,Central
BMTC,4,Shanthinagar Bus Stand - Shanthinagar Bus Stand,BR2166,3,Shanthinagar Bus Stand,Shanthinagar Bus Stand,47,1,Ordinary,Other
BMTC,BMT14-YBS,BMT14 - Yeshwanthpur TTMC,BR2744,3,BMT14,Yeshwanthpur TTMC,25,0,Special,West
BMTC,MSPL-MRHB,MS Palya - Marathahalli Bridge,BR3780,3,MS Palya,Marathahalli Bridge,30,0,Special,Other
BMTC,328C,Hosakote Bus Stand - Vaidehi Hospital,BR1650,3,Hosakote Bus Stand,Vaidehi Hospital,37,0,Ordinary Variant,Other
BMTC,328A,KR Puram - Varthuru,BR1648,3,KR Puram,Varthuru,19,0,Ordinary Variant,East
BMTC,9,MICO Layout Checkpost - Kempegowda Bus Station,BR2554,3,MICO Layout Checkpost,Kempegowda Bus Station,46,0,Ordinary,Central
BMTC,328B,Sarjapura Bus Stand - Hosakote Bus Stand,BR1649,3,Sarjapura Bus Stand,Hosakote Bus Stand,40,0,Ordinary Variant,Other
BMTC,8,Shivajinagar Bus Station - JP Nagara 15th Cross,BR2510,3,Shivajinagar Bus Station,JP Nagara 15th Cross,47,0,Ordinary,South
BMTC,328G,Krishnarajendra Market - Halasahalli,BR1653,3,Krishnarajendra Market,Halasahalli,36,0,Ordinary Variant,Central
BMTC,328H,Attibele - Hosakote Bus Stand,BR1654,3,Attibele,Hosakote Bus Stand,29,0,Ordinary Variant,Other
BMTC,328E,Krishnarajendra Market - Harohalli,BR1651,3,Krishnarajendra Market,Harohalli,34,0,Ordinary Variant,Central
BMTC,328F,Kempegowda Bus Station - Valepura,BR1652,3,Kempegowda Bus Station,Valepura,33,0,Ordinary Variant,Central
BMTC,50A,Brudavana Nagara Jinke vana - Shivajinagar Bus Station,BR2400,3,Brudavana Nagara Jinke vana,Shivajinagar Bus Station,54,0,Ordinary Variant,Central
BMTC,297F,Krishnarajendra Market - Bhovi Palya,BR1304,3,Krishnarajendra Market,Bhovi Palya,36,0,Ordinary Variant,Central
BMTC,297G,Yelahanka - Dodda Cheemanahalli,BR1305,3,Yelahanka,Dodda Cheemanahalli,31,0,Ordinary Variant,North
BMTC,297A,Krishnarajendra Market - Indrasanahalli,BR1302,3,Krishnarajendra Market,Indrasanahalli,39,0,Ordinary Variant,Central
BMTC,329J,Shivajinagar Bus Station - Singanayakanahalli,BR1669,3,Shivajinagar Bus Station,Singanayakanahalli,45,0,Ordinary Variant,Central
BMTC,297B,Krishnarajendra Market - Devaganahalli,BR1303,3,Krishnarajendra Market,Devaganahalli,38,0,Ordinary Variant,Central
BMTC,329M,HAL Main Gate - Muthsandra,BR1671,3,HAL Main Gate,Muthsandra,26,0,Ordinary Variant,Other
BMTC,329L,HAL Main Gate - Bellikere,BR1670,3,HAL Main Gate,Bellikere,25,0,Ordinary Variant,Other
BMTC,328HD,Hoskote - Anekal Bus Stand,BR1658,3,Hoskote,Anekal Bus Stand,26,0,Special,East
BMTC,297M,Doddaballapura - Devanahalli,BR1308,3,Doddaballapura,Devanahalli,28,0,Ordinary Variant,Other
BMTC,328HC,Attibele - Hosakote Bus Stand,BR1657,3,Attibele,Hosakote Bus Stand,29,0,Special,Other
BMTC,297H,Krishnarajendra Market - Hegganahalli,BR1306,3,Krishnarajendra Market,Hegganahalli,37,0,Ordinary Variant,Central
BMTC,328HB,KR Puram Railway Station - Attibele,BR1656,3,KR Puram Railway Station,Attibele,35,0,Special,East
BMTC,297K,Yelahanka - Vishwanathapura,BR1307,3,Yelahanka,Vishwanathapura,27,0,Ordinary Variant,North
BMTC,328HA,Kadugodi - Anekal,BR1655,3,Kadugodi,Anekal,17,0,Special,East
BMTC,296T,Kempegowda Bus Station - HBR Layout Ist Stage,BR1299,3,Kempegowda Bus Station,HBR Layout Ist Stage,45,0,Ordinary Variant,Central
BMTC,296V,Kempegowda Bus Station - HBR Layout BDA Complex,BR1300,3,Kempegowda Bus Station,HBR Layout BDA Complex,47,0,Ordinary Variant,Central
BMTC,329A,Krishnarajendra Market - Madappanahalli,BR1661,3,Krishnarajendra Market,Madappanahalli,39,0,Ordinary Variant,Central
BMTC,MDN-BTP,Mahadeshwara Nagara 16th Main - Bagmane Teck Park,BR3699,3,Mahadeshwara Nagara 16th Main,Bagmane Teck Park,49,0,Special,Other
BMTC,D13-JP6,Depot-13-BS - JPNagara 6th Phase,BR3208,3,Depot-13-BS,JPNagara 6th Phase,32,0,Ordinary,Other
BMTC,296Q,Shivajinagar Bus Station - HBR Layout Ist Stage,BR1298,3,Shivajinagar Bus Station,HBR Layout Ist Stage,47,0,Ordinary Variant,Central
BMTC,284CA,Shivajinagar Bus Station - Allalasandra Janapriya Apartmet,BR1105,3,Shivajinagar Bus Station,Allalasandra Janapriya Apartmet,58,0,Special,Central
BMTC,329F,Krishnarajendra Market - Anugondanahalli,BR1666,3,Krishnarajendra Market,Anugondanahalli,40,0,Ordinary Variant,Central
BMTC,329G,Shivajinagar Bus Station - Koturu,BR1667,3,Shivajinagar Bus Station,Koturu,33,0,Ordinary Variant,Central
BMTC,BELC-HALLCA,BEL Circle - HAL-LCA,BR2675,3,BEL Circle,HAL-LCA,20,0,Special,Other
BMTC,329H,Kempegowda Bus Station - Bellikere,BR1668,3,Kempegowda Bus Station,Bellikere,34,0,Ordinary Variant,Central
BMTC,WFS-1,Borewell - Borewell,BR4241,3,Borewell,Borewell,19,1,Ordinary,Other
BMTC,329B,Krishnarajendra Market - Janthagondanahalli,BR1662,3,Krishnarajendra Market,Janthagondanahalli,43,0,Ordinary Variant,Central
BMTC,WFS-2,Borewell - Borewell,BR4242,3,Borewell,Borewell,19,1,Ordinary,Other
BMTC,329C,Krishnarajendra Market - Koturu,BR1663,3,Krishnarajendra Market,Koturu,31,0,Ordinary Variant,Central
BMTC,329D,Shivajinagar Bus Station - Muthsandra,BR1664,3,Shivajinagar Bus Station,Muthsandra,37,0,Ordinary Variant,Central
BMTC,329E,Krishnarajendra Market - Bellikere,BR1665,3,Krishnarajendra Market,Bellikere,34,0,Ordinary Variant,Central
BMTC,296E,Shivajinagar Bus Station - Kammana Halli,BR1293,3,Shivajinagar Bus Station,Kammana Halli,40,0,Ordinary Variant,Central
BMTC,296F,Kempegowda Bus Station - Marasandra Bagalur,BR1295,3,Kempegowda Bus Station,Marasandra Bagalur,43,0,Ordinary Variant,Central
BMTC,296C,Kempegowda Bus Station - Kalyananagara Bus Stand,BR1291,3,Kempegowda Bus Station,Kalyananagara Bus Stand,48,0,Ordinary Variant,Central
BMTC,296D,Shivajinagar Bus Station - HBR Layout 5th Block,BR1292,3,Shivajinagar Bus Station,HBR Layout 5th Block,47,0,Ordinary Variant,Central
BMTC,296A,Kempegowda Bus Station - Yarappanahalli,BR1289,3,Kempegowda Bus Station,Yarappanahalli,39,0,Ordinary Variant,Central
BMTC,296B,Kempegowda Bus Station - HBR Layout 5th Block,BR1290,3,Kempegowda Bus Station,HBR Layout 5th Block,45,0,Ordinary Variant,Central
BMTC,a,Kempegowda Bus Station - Maratahalli Bridge,BR2588,3,Kempegowda Bus Station,Maratahalli Bridge,43,0,Ordinary Variant,Central
BMTC,296N,Kempegowda Bus Station - Kada Agrahara,BR1297,3,Kempegowda Bus Station,Kada Agrahara,38,0,Ordinary Variant,Central
BMTC,296K,Shivajinagar Bus Station - Yelahanka Satelite Town 5th Phase,BR1296,3,Shivajinagar Bus Station,Yelahanka Satelite Town 5th Phase,60,0,Ordinary Variant,North
BMTC,JFWTC-DAC,JFWTC - Ambedkar College Circle,BR3433,3,JFWTC,Ambedkar College Circle,31,0,Special,Other
BMTC,250AD,Jalahalli Cross - Jalahalli Cross,BR771,3,Jalahalli Cross,Jalahalli Cross,33,1,Special,North
BMTC,250AC,Yeshwanthpura TTMC - Chikkabanavara,BR770,3,Yeshwanthpura TTMC,Chikkabanavara,35,0,Special,West
BMTC,250AB,Kempegowda Bus Station - Medarahalli Railway Gate,BR769,3,Kempegowda Bus Station,Medarahalli Railway Gate,49,0,Special,Central
BMTC,250AA,Krishnarajendra Market - Medarahalli Railway Gate,BR768,3,Krishnarajendra Market,Medarahalli Railway Gate,49,0,Special,Central
BMTC,KPC-ORRCA,Kenchanapura Cross - ORRCA-ECOSPICE,BR3638,3,Kenchanapura Cross,ORRCA-ECOSPICE,35,0,Special,Other
BMTC,323L,Shivajinagar Bus Station - Nerige,BR1624,3,Shivajinagar Bus Station,Nerige,33,0,Ordinary Variant,Central
BMTC,210K,Kempegowda Bus Station - Omkaranagara,BR230,3,Kempegowda Bus Station,Omkaranagara,37,0,Ordinary Variant,Central
BMTC,323M,Krishnarajendra Market - Kamnahalli,BR1625,3,Krishnarajendra Market,Kamnahalli,35,0,Ordinary Variant,Central
BMTC,210J,Kempegowda Bus Station - Chikkalasandra Ramanjaneya Layout,BR229,3,Kempegowda Bus Station,Chikkalasandra Ramanjaneya Layout,58,0,Ordinary Variant,Central
BMTC,323N,Krishnarajendra Market - Kathruguppe,BR1626,3,Krishnarajendra Market,Kathruguppe,36,0,Ordinary Variant,Central
BMTC,AVLB-BSK,Avalahalli BDA Park - BANASHANKARI TTMC,BR2651,3,Avalahalli BDA Park,BANASHANKARI TTMC,39,0,Special,South
BMTC,210I,Kempegowda Bus Station - Chikkallasandra Bus Stand,BR228,3,Kempegowda Bus Station,Chikkallasandra Bus Stand,50,0,Ordinary Variant,Central
BMTC,210P,Kempegowda Bus Station - Chikkallasandra Bus Stand,BR242,3,Kempegowda Bus Station,Chikkallasandra Bus Stand,50,0,Ordinary Variant,Central
BMTC,210CD,Banashankari Bus Station - Maruthinagara,BR216,3,Banashankari Bus Station,Maruthinagara,40,0,Special,South
BMTC,210N,Kempegowda Bus Station - Uttarahalli,BR234,3,Kempegowda Bus Station,Uttarahalli,36,0,Ordinary Variant,Central
BMTC,210CB,Kempegowda Bus Station - Jaraganahalli Cross,BR215,3,Kempegowda Bus Station,Jaraganahalli Cross,44,0,Special,Central
BMTC,DAC-JFWTC,Ambedkar College Circle - JFWTC,BR3238,3,Ambedkar College Circle,JFWTC,31,0,Special,Other
BMTC,210D,Krishnarajendra Market - Vasanthapura,BR217,3,Krishnarajendra Market,Vasanthapura,37,0,Ordinary Variant,Central
BMTC,323D,Krishnarajendra Market - Koothaganahalli,BR1618,3,Krishnarajendra Market,Koothaganahalli,40,0,Ordinary Variant,Central
BMTC,210C,Krishnarajendra Market - Karishma hills,BR213,3,Krishnarajendra Market,Karishma hills,39,0,Ordinary Variant,Central
BMTC,323E,Krishnarajendra Market - Nerige,BR1619,3,Krishnarajendra Market,Nerige,31,0,Ordinary Variant,Central
BMTC,299E,Krishnarajendra Market - Gadenahalli,BR1336,3,Krishnarajendra Market,Gadenahalli,36,0,Ordinary Variant,Central
BMTC,210B,Krishnarajendra Market - Chunchaghatta,BR212,3,Krishnarajendra Market,Chunchaghatta,38,0,Ordinary Variant,Central
BMTC,323F,Kempegowda Bus Station - Nerige,BR1620,3,Kempegowda Bus Station,Nerige,31,0,Ordinary Variant,Central
BMTC,210A,Kempegowda Bus Station - ISRO Layout,BR210,3,Kempegowda Bus Station,ISRO Layout,36,0,Ordinary Variant,Central
BMTC,323G,Krishnarajendra Market - Ramanayakanahalli,BR1621,3,Krishnarajendra Market,Ramanayakanahalli,42,0,Ordinary Variant,Central
BMTC,210H,Shivajinagar Bus Station - Uttarahalli,BR225,3,Shivajinagar Bus Station,Uttarahalli,38,0,Ordinary Variant,Central
BMTC,323H,Krishnarajendra Market - Nekkundi Dommasandra,BR1622,3,Krishnarajendra Market,Nekkundi Dommasandra,45,0,Ordinary Variant,Central
BMTC,210G,Shivajinagar Bus Station - Vasanthapura,BR223,3,Shivajinagar Bus Station,Vasanthapura,39,0,Ordinary Variant,Central
BMTC,210F,Shivajinagar Bus Station - Uttarahalli,BR220,3,Shivajinagar Bus Station,Uttarahalli,38,0,Ordinary Variant,Central
BMTC,323J,Shivajinagar Bus Station - Koothaganahalli,BR1623,3,Shivajinagar Bus Station,Koothaganahalli,42,0,Ordinary Variant,Central
BMTC,210E,Kempegowda Bus Station - Vasanthapura,BR218,3,Kempegowda Bus Station,Vasanthapura,37,0,Ordinary Variant,Central
BMTC,298Y,Devanahalli - Yeliyuru,BR1334,3,Devanahalli,Yeliyuru,22,0,Ordinary Variant,Other
BMTC,323A,Krishnarajendra Market - Gonighattapura,BR1614,3,Krishnarajendra Market,Gonighattapura,39,0,Ordinary Variant,Central
BMTC,CR-HAL-2,Avalahalli BDA Park - HAL Main Gate,BR3029,3,Avalahalli BDA Park,HAL Main Gate,35,0,Ordinary,Other
BMTC,57A,MCTC Bus Stand - Kempegowda Bus Station,BR2408,3,MCTC Bus Stand,Kempegowda Bus Station,39,0,Ordinary Variant,Central
BMTC,323C,Krishnarajendra Market - Tattanur,BR1617,3,Krishnarajendra Market,Tattanur,33,0,Ordinary Variant,Central
BMTC,323B,Krishnarajendra Market - Kugur Cross,BR1616,3,Krishnarajendra Market,Kugur Cross,36,0,Ordinary Variant,Central
BMTC,298R,Hosakote Bus Stand - Devanahalli,BR1333,3,Hosakote Bus Stand,Devanahalli,32,0,Ordinary Variant,Other
BMTC,210CA,Kempegowda Bus Station - Gubbalala,BR214,3,Kempegowda Bus Station,Gubbalala,34,0,Special,Central
BMTC,375-D,BANASHANKARI TTMC - Chikkanahalli,BR2084,3,BANASHANKARI TTMC,Chikkanahalli,33,0,Ordinary Variant,South
BMTC,298L,Devanahalli - Yelahanaka NES Office,BR1315,3,Devanahalli,Yelahanaka NES Office,35,0,Ordinary Variant,Other
BMTC,211K,Krishnarajendra Market - Gudipalya,BR267,3,Krishnarajendra Market,Gudipalya,34,0,Ordinary Variant,Central
BMTC,211J,Kempegowda Bus Station - Vaddarapalya,BR266,3,Kempegowda Bus Station,Vaddarapalya,37,0,Ordinary Variant,Central
BMTC,211M,Krishnarajendra Market - Honnalagana Doddi,BR269,3,Krishnarajendra Market,Honnalagana Doddi,42,0,Ordinary Variant,Central
BMTC,211L,Kempegowda Bus Station - BCC Layout,BR268,3,Kempegowda Bus Station,BCC Layout,35,0,Ordinary Variant,Central
BMTC,298P,New Devanahalli - Hosakote Bus Stand,BR1328,3,New Devanahalli,Hosakote Bus Stand,36,0,Ordinary Variant,Other
BMTC,211N,Krishnarajendra Market - Bidadi,BR270,3,Krishnarajendra Market,Bidadi,31,0,Ordinary Variant,Central
BMTC,211Q,Krishnarajendra Market - Kattalepalya,BR272,3,Krishnarajendra Market,Kattalepalya,37,0,Ordinary Variant,Central
BMTC,298M,Devanahalli - Kempegowda Bus Station,BR1316,3,Devanahalli,Kempegowda Bus Station,36,0,Ordinary Variant,Central
BMTC,211P,Krishnarajendra Market - Chudahalli,BR271,3,Krishnarajendra Market,Chudahalli,35,0,Ordinary Variant,Central
BMTC,VRP-NLO,Vidyaranyapura - Nandini Layout,BR4222,3,Vidyaranyapura,Nandini Layout,31,0,Special,North
BMTC,211C,Krishnarajendra Market - Vaderahalli,BR258,3,Krishnarajendra Market,Vaderahalli,36,0,Ordinary Variant,Central
BMTC,298C,Kempalingana pura - Krishnarajendra Market,BR1312,3,Kempalingana pura,Krishnarajendra Market,42,0,Ordinary Variant,Central
BMTC,211B,Kempegowda Bus Station - Somanahalli,BR257,3,Kempegowda Bus Station,Somanahalli,36,0,Ordinary Variant,Central
BMTC,57B,MCTC Bus Stand - Kempegowda Bus Station,BR2409,3,MCTC Bus Stand,Kempegowda Bus Station,39,0,Ordinary Variant,Central
BMTC,298B,Krishnarajendra Market - Baichapura,BR1311,3,Krishnarajendra Market,Baichapura,35,0,Ordinary Variant,Central
BMTC,211E,Krishnarajendra Market - Karenahalli,BR262,3,Krishnarajendra Market,Karenahalli,36,0,Ordinary Variant,Central
BMTC,324E,Krishnarajendra Market - Vijayanagar,BR1632,3,Krishnarajendra Market,Vijayanagar,36,0,Ordinary Variant,South
BMTC,298A,Uganawadi - Krishnarajendra Market,BR1310,3,Uganawadi,Krishnarajendra Market,34,0,Ordinary Variant,Central
BMTC,211D,Krishnarajendra Market - Naganayakanahalli,BR260,3,Krishnarajendra Market,Naganayakanahalli,42,0,Ordinary Variant,Central
BMTC,298H,New Devanahalli - Jayanagara 4th Block,BR1314,3,New Devanahalli,Jayanagara 4th Block,38,0,Ordinary Variant,South
BMTC,211G,Krishnarajendra Market - Kodipalya,BR264,3,Krishnarajendra Market,Kodipalya,34,0,Ordinary Variant,Central
BMTC,211F,Kempegowda Bus Station - Kaggalipura,BR263,3,Kempegowda Bus Station,Kaggalipura,36,0,Ordinary Variant,Central
BMTC,RJK-CSB,Rajanukunte - Central Silk Board,BR3901,3,Rajanukunte,Central Silk Board,32,0,Special,Other
BMTC,298E,Yelahanka - Kundana Devanahalli,BR1313,3,Yelahanka,Kundana Devanahalli,31,0,Ordinary Variant,North
BMTC,211H,Krishnarajendra Market - Mukkodlu,BR265,3,Krishnarajendra Market,Mukkodlu,33,0,Ordinary Variant,Central
BMTC,210Z,Kempegowda Bus Station - Chikkalasandra Ramanjaneya Layout,BR252,3,Kempegowda Bus Station,Chikkalasandra Ramanjaneya Layout,58,0,Ordinary Variant,Central
BMTC,KWS-KMT,Shanthinagar TTMC - Kengeri KSRTC Regional Workshop,BR3666,3,Shanthinagar TTMC,Kengeri KSRTC Regional Workshop,51,0,Special,South
BMTC,VRP-VNS,Vidyaranyapura 6th Block - Vidyaniketan School,BR4225,3,Vidyaranyapura 6th Block,Vidyaniketan School,46,0,Special,North
BMTC,374MA,Kengeri TTMC - Nelamangala,BR2081,3,Kengeri TTMC,Nelamangala,26,0,Special,South
BMTC,324D,Krishnarajendra Market - White Field Post Office,BR1631,3,Krishnarajendra Market,White Field Post Office,48,0,Ordinary Variant,Central
BMTC,324C,Krishnarajendra Market - Hagadoor,BR1630,3,Krishnarajendra Market,Hagadoor,33,0,Ordinary Variant,Central
BMTC,324B,Krishnarajendra Market - Vinayakanagar,BR1629,3,Krishnarajendra Market,Vinayakanagar,38,0,Ordinary Variant,Central
BMTC,211A,Krishnarajendra Market - Vajramuneshwara Temple,BR255,3,Krishnarajendra Market,Vajramuneshwara Temple,47,0,Vajra,Central
BMTC,324A,Krishnarajendra Market - NAGAGONDANAHALLI,BR1628,3,Krishnarajendra Market,NAGAGONDANAHALLI,41,0,Ordinary Variant,Central
BMTC,210Q,Shivajinagar Bus Station - Chikkallasandra Bus Stand,BR243,3,Shivajinagar Bus Station,Chikkallasandra Bus Stand,52,0,Ordinary Variant,Central
BMTC,210R,Kempegowda Bus Station - Vasanthapura,BR244,3,Kempegowda Bus Station,Vasanthapura,37,0,Ordinary Variant,Central
BMTC,210T,Banashankari Bus Station - Banashankari Bus Station,BR245,3,Banashankari Bus Station,Banashankari Bus Station,51,1,Ordinary Variant,South
BMTC,210U,Kempegowda Bus Station - Kumaraswamy Layout,BR246,3,Kempegowda Bus Station,Kumaraswamy Layout,43,0,Ordinary Variant,Central
BMTC,210V,Banashankari Bus Station - Banashankari Bus Station,BR248,3,Banashankari Bus Station,Banashankari Bus Station,51,1,Ordinary Variant,South
BMTC,210W,Kempegowda Bus Station - Kariyana Palya,BR249,3,Kempegowda Bus Station,Kariyana Palya,39,0,Ordinary Variant,Central
BMTC,210X,Kempegowda Bus Station - Chandranagara,BR251,3,Kempegowda Bus Station,Chandranagara,38,0,Ordinary Variant,Central
BMTC,210AC,Kempegowda Bus Station - Poornapragna Layout,BR211,3,Kempegowda Bus Station,Poornapragna Layout,44,0,Special,Central
BMTC,CS-114E,Sulthan Palya - Banashankari Bus Station,BR3073,3,Sulthan Palya,Banashankari Bus Station,40,0,Ordinary Variant,South
BMTC,CS-114C,Sulthan Palya - Kempegowda Bus Station,BR3072,3,Sulthan Palya,Kempegowda Bus Station,38,0,Ordinary Variant,Central
BMTC,176CA,Chandra Layout - Manorayana Palya,BR160,3,Chandra Layout,Manorayana Palya,33,0,Special,Other
BMTC,212M,Banashankari Bus Station - Kengeri TTMC,BR283,3,Banashankari Bus Station,Kengeri TTMC,39,0,Ordinary Variant,South
BMTC,CS-114A,Sulthan Palya - Shivajinagar Bus Station,BR3071,3,Sulthan Palya,Shivajinagar Bus Station,40,0,Ordinary Variant,Central
BMTC,SBS-RYL,Shivajinagar Bus Station - Royale Concorde School,BR3936,3,Shivajinagar Bus Station,Royale Concorde School,49,0,Special,Central
BMTC,250DT,Yeshwanthpur TTMC - Yeshwanthpura,BR780,3,Yeshwanthpur TTMC,Yeshwanthpura,33,0,Special,West
BMTC,54E,Vinayaka Nagara - Kempegowda Bus Station,BR2405,3,Vinayaka Nagara,Kempegowda Bus Station,40,0,Ordinary Variant,Central
BMTC,212G,Kempegowda Bus Station - Thimmegowdana Palya,BR282,3,Kempegowda Bus Station,Thimmegowdana Palya,44,0,Ordinary Variant,Central
BMTC,212F,Kempegowda Bus Station - Tataguni,BR281,3,Kempegowda Bus Station,Tataguni,33,0,Ordinary Variant,Central
BMTC,AJB-CSB,Amarajyothi Badavane - Central Silk Board,BR2606,3,Amarajyothi Badavane,Central Silk Board,41,0,Special,Other
BMTC,212D,Kempegowda Bus Station - Agara,BR280,3,Kempegowda Bus Station,Agara,30,0,Ordinary Variant,Central
BMTC,212C,Krishnarajendra Market - Nagegowdana Palya,BR279,3,Krishnarajendra Market,Nagegowdana Palya,42,0,Ordinary Variant,Central
